rowid,pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_kepflag,pl_k2flag,kepler,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate,pl_eqt,pl_disc,pl_instrument,solarsystemflag
1736,Kepler-212,c,Transit,31.805174,0.207,,,,,0.244,,1,0,1,,13.178,Kepler-band,5852,1.16,1.46,41773,,2014,Kepler CCD Array,0
1589,Kepler-164,c,Transit,10.945723,0.097,,,,,0.244,,1,0,1,,14.282,Kepler-band,5888,1.11,1.15,41773,,2014,Kepler CCD Array,0
2217,Kepler-385,b,Transit,10.043686,0.097,,,,,0.244,,1,0,1,,15.212,Kepler-band,6326,1.09,1.13,41773,,2014,Kepler CCD Array,0
2152,Kepler-358,b,Transit,34.060467,0.21,,,,,0.243,,1,0,1,,15.375,Kepler-band,5908,0.95,0.95,41773,,2014,Kepler CCD Array,0
2010,Kepler-305,d,Transit,16.738661,0.121,,,,,0.242,,1,0,1,,15.812,Kepler-band,5100,0.76,0.79,41773,,2014,Kepler CCD Array,0
1799,Kepler-233,c,Transit,60.418955,0.287,,,,,0.242,,1,0,1,,15.339,Kepler-band,5360,,0.76,41773,,2014,Kepler CCD Array,0
1974,Kepler-294,c,Transit,6.6264,0.071,,,,,0.242,,1,0,1,,15.843,Kepler-band,5913,,0.98,41773,,2014,Kepler CCD Array,0
2146,Kepler-355,c,Transit,25.762294,0.179,,,,,0.242,,1,0,1,,15.087,Kepler-band,6184,1.05,1.07,41773,,2014,Kepler CCD Array,0
2048,Kepler-32,d,Transit,22.7802,0.13,,,,,0.241,,1,0,1,303,16.452,V (Johnson),3900,0.58,0.53,42453,,2012,Kepler CCD Array,0
1963,Kepler-290,c,Transit,36.77031,0.205,,,,,0.241,,1,0,1,,15.596,Kepler-band,5147,,0.74,41773,,2014,Kepler CCD Array,0
1877,Kepler-259,c,Transit,36.924931,0.217,,,,,0.241,,1,0,1,,15.219,Kepler-band,5938,,0.9,41773,,2014,Kepler CCD Array,0
1784,Kepler-228,c,Transit,4.134444,0.052,,,,,0.241,,1,0,1,,15.714,Kepler-band,6043,,1.01,41773,,2014,Kepler CCD Array,0
1611,Kepler-168,c,Transit,13.193242,0.116,,,,,0.24,,1,0,1,,14.606,Kepler-band,6282,,1.11,41773,,2014,Kepler CCD Array,0
2315,Kepler-436,b,Transit,64.00205,0.339,0.19,89.93,,,0.24,,1,0,1,618,15.856,Kepler-band,4651,0.73,0.7,42010,,2015,Kepler CCD Array,0
1959,Kepler-289,d,Transit,66.0634,0.33,,89.73,0.013,Mass,0.239,1.2,1,0,1,700,13.956,Kepler-band,5990,1.08,1,41962,,2014,Kepler CCD Array,0
2150,Kepler-357,c,Transit,16.85837,0.12,,,,,0.238,,1,0,1,,15.565,Kepler-band,5036,0.78,0.83,41773,,2014,Kepler CCD Array,0
1888,Kepler-263,b,Transit,16.568087,0.12,,,,,0.238,,1,0,1,,15.391,Kepler-band,5265,,0.79,41773,,2014,Kepler CCD Array,0
1969,Kepler-292,e,Transit,11.97901,0.097,,,,,0.238,,1,0,1,,15.956,Kepler-band,5299,0.88,0.83,41773,,2014,Kepler CCD Array,0
1956,Kepler-288,d,Transit,56.633742,0.287,,,,,0.238,,1,0,1,,15.151,Kepler-band,5918,0.89,1.09,41773,,2014,Kepler CCD Array,0
1667,Kepler-187,c,Transit,10.640263,0.099,,,,,0.238,,1,0,1,,14.173,Kepler-band,6105,0.85,1.29,41773,,2014,Kepler CCD Array,0
706,K2-7,b,Transit,28.67992,0.1814,,,,,0.238,,0,1,1,,13.213,V (Johnson),5772,0.97,0.96,42201,651,2015,Kepler CCD Array,0
687,K2-26,b,Transit,14.5665,0.0962,,88.4,,,0.238,,0,1,1,93,14.53,V (Johnson),3785,0.56,0.52,42390,430,2016,Kepler CCD Array,0
738,KOI-351,e,Transit,91.93913,0.42,,89.79,,,0.237,,1,0,1,780,13.804,Kepler-band,6080,1.2,1.2,41773,,2013,Kepler CCD Array,0
